race,sex,sl,yc,h_cm,hw_k,es,y
W,F,N,N,164.7,175.6,85.9,1
W,F,N,N,154.9,245.5,84.2,0
A,F,Y,N,163.2,330.9,81.8,0
A,F,Y,N,167.1,331.1,85.4,1
W,M,N,Y,188.0,133.6,80.7,0
A,M,Y,Y,169.8,348.5,83.2,0
B,F,N,N,152.9,85.0,82.8,0
B,M,N,Y,196.7,50.6,80.0,0
B,M,N,Y,177.2,84.6,85.8,1
A,M,Y,Y,195.0,275.9,87.7,1
B,M,N,Y,174.1,100.1,81.1,0
B,M,N,Y,189.4,80.9,80.2,0
B,F,N,N,162.2,100.5,84.8,0
B,F,N,N,150.3,86.5,88.5,1
W,M,N,Y,182.0,271.8,87.8,1
B,M,N,Y,183.8,112.6,86.7,1
W,M,N,Y,188.7,170.9,83.5,0
B,M,N,Y,197.5,90.9,81.6,0
B,M,N,Y,169.0,52.2,87.5,1
A,F,Y,N,151.5,285.1,84.4,0
B,M,N,Y,194.9,104.6,84.6,0
W,M,N,Y,171.3,264.7,82.2,0
W,F,N,N,163.0,206.0,87.0,1
W,M,N,Y,200.0,126.5,80.7,0
A,F,Y,N,159.3,335.2,88.0,1
B,F,N,N,155.1,121.1,84.0,0
W,F,N,N,166.3,240.1,88.4,1
B,M,N,Y,174.4,99.3,86.4,1
A,M,Y,Y,183.4,280.9,89.0,1
A,M,Y,Y,170.6,321.0,83.4,0
A,F,Y,N,158.5,333.2,89.7,1
A,M,Y,Y,197.0,324.9,82.5,0
W,F,N,N,153.1,243.4,83.1,0
W,M,N,Y,196.8,173.5,81.1,0
A,F,Y,N,161.1,304.0,81.7,0
B,M,N,Y,182.9,89.3,87.6,1
W,M,N,Y,179.6,229.1,86.3,1
W,M,N,Y,175.0,189.7,86.4,1
A,F,Y,N,167.9,340.3,83.9,0
A,F,Y,N,160.1,288.6,84.3,0
A,F,Y,N,150.5,283.0,87.8,1
W,F,N,N,160.0,144.1,82.9,0
W,F,N,N,161.1,186.4,80.6,0
W,F,N,N,157.0,183.7,89.0,1
A,M,Y,Y,183.1,329.2,82.8,0
A,F,Y,N,154.8,322.5,86.2,1
A,M,Y,Y,193.1,335.8,86.1,1
W,M,N,Y,193.2,168.0,84.8,0
A,M,Y,Y,185.3,306.8,89.1,1
A,F,Y,N,158.5,323.9,84.1,0
A,F,Y,N,163.5,346.0,85.6,1
B,F,N,N,162.9,55.8,81.5,0
W,F,N,N,156.0,268.3,87.0,1
B,M,N,Y,194.9,64.8,84.0,0
W,M,N,Y,181.5,273.1,83.0,0
B,M,N,Y,170.2,94.1,87.9,1
B,M,N,Y,177.8,53.1,89.4,1
B,M,N,Y,170.9,57.7,85.8,1
W,M,N,Y,191.6,175.3,87.6,1
W,M,N,Y,181.0,216.4,86.5,1
B,F,N,N,155.7,65.3,89.7,1
W,F,N,N,155.3,163.4,86.8,1
B,M,N,Y,183.5,119.6,82.1,0
B,M,N,Y,192.5,79.9,84.1,0
B,F,N,N,158.5,53.3,85.9,1
B,F,N,N,164.9,105.5,83.2,0
B,F,N,N,166.8,77.9,81.4,0
A,M,Y,Y,197.8,305.5,89.4,1
A,M,Y,Y,182.7,319.3,82.3,0
A,M,Y,Y,191.1,300.5,85.5,1
A,F,Y,N,161.0,336.1,90.0,1
W,F,N,N,159.1,223.5,82.2,0
B,F,N,N,167.9,101.9,89.6,1
B,F,N,N,154.2,59.2,82.2,0
W,M,N,Y,171.7,250.5,84.1,0
A,M,Y,Y,174.1,349.2,83.6,0
A,F,Y,N,155.5,337.5,87.7,1
A,M,Y,Y,174.3,310.7,89.0,1
A,F,Y,N,158.2,287.9,88.4,1
B,M,N,Y,175.5,81.8,85.5,1
B,F,N,N,166.9,94.6,87.1,1
A,F,Y,N,150.1,293.0,87.8,1
A,F,Y,N,150.3,297.1,81.6,0
W,F,N,N,166.6,238.0,82.2,0
B,F,N,N,157.6,86.0,85.5,1
A,M,Y,Y,189.9,326.0,83.9,0
A,M,Y,Y,174.2,341.4,83.7,0
A,M,Y,Y,177.5,311.4,87.6,1
A,M,Y,Y,173.2,312.5,87.7,1
A,M,Y,Y,181.4,336.8,86.5,1
W,M,N,Y,168.9,265.5,87.1,1
W,M,N,Y,197.5,179.3,82.9,0
W,F,N,N,159.2,239.4,86.9,1
A,M,Y,Y,188.8,300.1,81.4,0
A,F,Y,N,166.5,279.2,87.4,1
W,F,N,N,158.4,234.5,82.2,0
A,M,Y,Y,181.2,287.7,86.1,1
W,F,N,N,158.1,274.5,88.9,1
A,M,Y,Y,188.7,306.8,83.8,0
A,F,Y,N,164.9,305.6,87.5,1
W,F,N,N,165.5,153.2,85.1,1
B,F,N,N,159.0,76.4,84.8,0
A,M,Y,Y,172.4,293.8,81.7,0
W,F,N,N,154.8,222.0,89.5,1
W,M,N,Y,168.7,167.8,85.9,1
A,M,Y,Y,197.0,318.1,85.2,1
A,M,Y,Y,193.8,297.9,89.7,1
B,F,N,N,166.9,85.2,88.4,1
B,M,N,Y,199.1,69.2,87.3,1
A,F,Y,N,150.7,325.4,87.0,1
A,M,Y,Y,178.8,322.2,86.0,1
B,M,N,Y,190.5,93.1,83.6,0
B,M,N,Y,198.4,70.1,89.6,1
A,F,Y,N,167.9,276.1,84.7,0
B,M,N,Y,197.9,117.2,84.6,0
A,F,Y,N,159.3,347.9,84.7,0
W,M,N,Y,199.6,243.9,85.3,1
A,M,Y,Y,178.1,326.4,81.3,0
B,M,N,Y,187.0,57.3,81.2,0
B,F,N,N,158.2,104.9,89.7,1
A,F,Y,N,161.2,304.3,81.0,0
W,M,N,Y,188.1,190.6,88.9,1
A,M,Y,Y,172.5,296.1,88.6,1
A,M,Y,Y,173.2,287.3,83.2,0
W,F,N,N,163.1,166.6,85.6,1
A,M,Y,Y,170.6,346.9,80.8,0
B,M,N,Y,190.9,117.0,86.2,1
B,F,N,N,157.2,57.8,85.6,1
W,M,N,Y,174.0,245.7,86.6,1
B,M,N,Y,190.5,70.9,83.4,0
A,F,Y,N,151.8,301.6,87.1,1
A,F,Y,N,162.6,337.5,81.6,0
B,F,N,N,161.3,56.2,87.0,1
A,M,Y,Y,182.2,347.9,80.4,0
B,M,N,Y,185.8,108.5,82.3,0
B,F,N,N,168.0,119.6,86.7,1
A,M,Y,Y,196.8,332.0,82.5,0
A,F,Y,N,165.6,291.2,84.1,0
W,F,N,N,159.8,244.0,81.2,0
W,F,N,N,162.2,226.5,88.8,1
W,F,N,N,156.7,187.8,80.2,0
A,F,Y,N,156.4,300.6,85.7,1
A,F,Y,N,151.2,304.0,81.6,0
W,F,N,N,162.1,258.3,80.5,0
A,F,Y,N,157.8,304.5,80.7,0
A,F,Y,N,164.8,340.2,86.6,1
A,M,Y,Y,188.9,309.2,84.1,0
B,M,N,Y,172.7,121.8,88.6,1
A,M,Y,Y,186.7,305.4,85.9,1
W,F,N,N,161.3,255.8,83.1,0
A,F,Y,N,156.2,300.3,87.4,1
A,F,Y,N,156.9,305.2,89.2,1
B,F,N,N,163.7,77.4,82.0,0
A,M,Y,Y,181.5,282.4,84.9,0
A,F,Y,N,154.8,323.3,87.0,1
W,F,N,N,162.3,184.5,80.1,0
B,M,N,Y,181.6,67.1,88.0,1
B,F,N,N,153.8,54.6,82.5,0
W,M,N,Y,177.0,183.4,80.8,0
A,M,Y,Y,183.7,300.5,89.1,1
A,M,Y,Y,172.1,303.0,86.2,1
A,M,Y,Y,199.9,327.3,81.9,0
B,M,N,Y,171.5,75.1,82.8,0
W,F,N,N,157.9,175.9,85.9,1
A,F,Y,N,161.5,308.9,87.7,1
B,F,N,N,160.9,98.8,82.9,0
W,F,N,N,152.5,179.3,88.2,1
B,M,N,Y,197.6,82.6,87.9,1
B,F,N,N,167.9,85.8,80.9,0
B,F,N,N,160.8,104.7,82.3,0
A,F,Y,N,155.4,304.9,88.2,1
B,M,N,Y,175.0,53.0,83.0,0
W,M,N,Y,176.7,144.5,80.6,0
A,F,Y,N,163.6,301.0,87.9,1
B,F,N,N,164.8,64.9,80.5,0
A,F,Y,N,167.9,291.7,89.6,1
A,F,Y,N,155.7,333.4,80.8,0
A,M,Y,Y,178.3,340.0,85.3,1
A,F,Y,N,167.7,301.4,88.9,1
W,M,N,Y,173.3,207.7,84.7,0
B,F,N,N,162.1,51.9,86.3,1
B,F,N,N,158.9,73.9,83.3,0
W,M,N,Y,181.4,153.5,86.6,1
B,F,N,N,158.9,97.3,82.1,0
W,M,N,Y,199.6,185.6,84.4,0
B,M,N,Y,183.5,88.6,86.1,1
B,M,N,Y,191.8,112.1,89.1,1
W,F,N,N,163.5,128.4,89.4,1
B,F,N,N,155.4,88.7,88.5,1
A,F,Y,N,157.8,341.1,86.9,1
W,M,N,Y,194.1,212.1,81.3,0
A,M,Y,Y,195.9,275.9,89.3,1
W,F,N,N,164.4,193.5,81.0,0
A,M,Y,Y,181.7,313.2,87.3,1
B,F,N,N,160.5,111.1,84.0,0
B,M,N,Y,195.4,89.9,80.4,0
A,M,Y,Y,176.8,296.0,83.5,0
W,F,N,N,157.5,162.7,88.0,1
W,M,N,Y,183.6,166.5,84.8,0
B,M,N,Y,196.0,76.9,85.3,1
A,M,Y,Y,196.1,310.8,82.0,0
W,M,N,Y,169.7,125.7,83.2,0
W,M,N,Y,175.2,171.0,83.9,0
A,F,Y,N,159.9,302.2,87.4,1
B,M,N,Y,196.8,55.8,86.6,1
B,M,N,Y,195.1,80.1,84.6,0
A,F,Y,N,161.7,276.2,89.2,1
A,F,Y,N,164.6,334.3,84.9,0
A,F,Y,N,150.7,310.6,85.3,1
A,M,Y,Y,199.6,282.3,85.2,1
B,F,N,N,154.5,78.4,82.6,0
W,F,N,N,157.1,238.1,88.4,1
W,M,N,Y,194.9,137.1,88.8,1
A,F,Y,N,161.8,304.3,81.5,0
W,F,N,N,166.1,219.4,87.9,1
A,F,Y,N,156.8,310.0,87.3,1
W,F,N,N,161.8,170.9,81.2,0
W,F,N,N,164.1,194.7,81.9,0
A,M,Y,Y,180.5,344.3,88.4,1
B,F,N,N,154.7,95.1,82.1,0
W,M,N,Y,174.8,183.5,89.6,1
W,M,N,Y,179.9,204.6,86.0,1
A,F,Y,N,161.6,323.8,81.4,0
W,M,N,Y,198.3,247.1,86.6,1
A,M,Y,Y,197.3,324.6,89.3,1
W,F,N,N,150.7,170.2,83.9,0
B,M,N,Y,191.6,109.0,86.4,1
W,M,N,Y,192.5,133.2,81.5,0
W,F,N,N,155.1,254.0,80.1,0
A,M,Y,Y,182.1,349.8,86.3,1
B,F,N,N,158.3,60.0,81.4,0
B,F,N,N,163.3,113.1,82.6,0
A,F,Y,N,154.0,332.8,82.3,0
W,M,N,Y,178.6,228.7,84.0,0
W,F,N,N,160.6,209.4,88.7,1
W,F,N,N,157.7,220.2,86.2,1
B,F,N,N,166.2,53.4,84.5,0
B,F,N,N,154.8,50.3,89.3,1
B,M,N,Y,193.3,105.5,87.2,1
A,F,Y,N,156.0,339.0,84.3,0
B,M,N,Y,198.8,112.7,82.5,0
B,M,N,Y,180.2,76.5,83.3,0
W,M,N,Y,182.4,242.3,89.7,1
A,F,Y,N,159.0,299.4,88.4,1
A,M,Y,Y,184.9,312.3,85.5,1
B,M,N,Y,196.5,116.6,87.2,1
A,F,Y,N,158.7,277.4,89.8,1
W,M,N,Y,192.6,143.4,82.9,0
B,M,N,Y,190.0,77.2,82.3,0
A,M,Y,Y,199.2,315.5,82.7,0
A,M,Y,Y,199.8,298.2,80.4,0
W,F,N,N,167.7,212.7,86.4,1
W,F,N,N,162.4,210.5,83.7,0
B,F,N,N,159.2,52.1,88.0,1
B,F,N,N,156.8,109.4,88.8,1
B,F,N,N,159.1,94.9,86.8,1
A,F,Y,N,160.4,318.3,86.4,1
A,F,Y,N,152.8,345.7,86.1,1
A,M,Y,Y,191.3,280.9,86.0,1
W,M,N,Y,181.7,137.0,81.4,0
W,F,N,N,162.6,175.5,89.2,1
B,F,N,N,167.5,106.4,84.8,0
B,F,N,N,168.0,112.2,88.6,1
B,F,N,N,156.9,112.9,82.9,0
A,M,Y,Y,187.8,293.0,84.2,0
W,F,N,N,163.8,175.4,86.2,1
B,M,N,Y,185.8,80.7,85.0,1
A,M,Y,Y,194.0,321.0,84.3,0
B,M,N,Y,187.8,89.6,82.8,0
B,M,N,Y,197.9,67.1,80.2,0
B,F,N,N,155.1,54.6,87.0,1
B,F,N,N,167.9,80.5,82.4,0
B,M,N,Y,198.2,116.8,81.0,0
A,M,Y,Y,182.2,305.8,86.8,1
W,M,N,Y,191.0,187.7,83.9,0
W,F,N,N,167.6,244.3,88.0,1
W,M,N,Y,181.9,142.9,84.7,0
B,F,N,N,166.2,101.6,85.7,1
W,F,N,N,153.3,226.2,83.0,0
A,M,Y,Y,193.4,284.4,82.3,0
W,F,N,N,151.5,267.1,86.5,1
B,F,N,N,154.2,98.8,89.4,1
B,F,N,N,160.2,108.9,85.2,1
A,F,Y,N,163.7,281.1,80.9,0
W,M,N,Y,198.2,216.3,82.6,0
B,M,N,Y,174.1,68.9,89.1,1
B,F,N,N,166.0,106.6,84.3,0
W,F,N,N,160.2,180.3,83.0,0
W,F,N,N,164.9,155.2,87.5,1
B,M,N,Y,183.7,102.3,87.7,1
A,M,Y,Y,182.7,293.4,89.8,1
B,M,N,Y,186.8,79.6,80.5,0
A,F,Y,N,153.7,341.8,85.7,1
W,M,N,Y,182.2,162.3,89.9,1
A,F,Y,N,156.7,346.7,84.5,0
B,M,N,Y,181.5,122.8,85.4,1
B,F,N,N,156.3,77.5,84.8,0
A,M,Y,Y,172.8,299.5,87.9,1
A,M,Y,Y,180.3,312.1,86.6,1
W,M,N,Y,181.2,271.0,84.6,0
B,F,N,N,163.3,89.7,83.4,0
B,M,N,Y,172.9,109.2,85.4,1
W,M,N,Y,191.6,229.2,81.0,0
W,F,N,N,158.4,173.2,80.3,0
A,F,Y,N,155.9,279.8,82.9,0
B,M,N,Y,182.4,100.3,80.9,0
A,M,Y,Y,178.3,280.2,81.9,0
W,M,N,Y,171.9,198.6,87.8,1
B,M,N,Y,187.7,123.9,82.7,0
B,F,N,N,157.2,69.3,86.0,1
A,M,Y,Y,176.5,304.1,86.3,1
A,M,Y,Y,174.4,346.6,86.4,1
W,F,N,N,153.7,134.3,81.2,0
B,M,N,Y,179.6,88.0,82.4,0
A,M,Y,Y,169.2,278.6,80.1,0
W,M,N,Y,172.3,241.3,83.3,0
B,F,N,N,152.9,57.9,80.6,0
A,F,Y,N,165.3,323.5,80.2,0
B,M,N,Y,183.5,109.0,81.3,0
B,F,N,N,155.8,77.7,80.6,0
B,M,N,Y,176.0,103.7,80.5,0
A,F,Y,N,161.6,346.6,85.3,1
W,M,N,Y,196.2,208.8,88.3,1
B,M,N,Y,199.8,59.4,82.1,0
B,F,N,N,168.0,73.7,84.6,0
W,M,N,Y,177.6,137.2,86.2,1
B,F,N,N,152.0,106.1,89.2,1
A,F,Y,N,152.0,296.5,82.8,0
W,F,N,N,159.9,258.4,82.2,0
A,F,Y,N,151.2,294.7,89.5,1
B,F,N,N,166.8,88.8,80.5,0
W,F,N,N,167.0,220.1,84.4,0
A,M,Y,Y,199.4,318.8,88.0,1
W,M,N,Y,176.9,249.3,88.7,1
A,F,Y,N,153.4,281.1,88.8,1
B,M,N,Y,198.2,101.0,87.6,1
A,F,Y,N,163.6,278.7,89.2,1
W,M,N,Y,192.9,249.1,81.4,0
W,M,N,Y,178.1,252.4,84.9,0
B,M,N,Y,189.7,90.4,82.3,0
A,F,Y,N,155.8,329.0,85.5,1
